department,violence,conflict
Vaupes,57,4296
Guainia,111,3510
San Andres,347,193
Vichada,415,2262
Guaviare,698,13949
Amazonas,776,1275
Casanare,1947,32793
Choco,2882,120576
Arauca,3089,34466
Quindio,3334,27219
Putumayo,3494,54050
Caldas,4389,59388
Cesar,4860,187518
Caqueta,4915,87611
Guajira,5499,65945
Risaralda,5625,50570
Sucre,5875,138311
Cauca,6123,171793
Tolima,6177,75957
Magdalena,6314,184079
Cordoba,6326,175136
Boyaca,6506,15203
Bolivar,9646,223142
Norte de Santander,9994,109562
Meta,10433,90455
Narino,14129,204757
Huila,14270,78468
Atlantico,17040,79471
Santander,17637,82932
Antioquia,24942,840769
Cundinamarca,35301,68423
Valle,43733,262121
